Identifier,Age,Education,Indutry_Groups,Industry_Domain,Marital_Status,Occupation,Customer_Segment,Gender,Metropolitan_City,Residence,Insurance_Product_type,Insurance_Acquisition_Channel,Active_Bank_Products,Total_Bank_Products,Commercial_Loan,Consumer_Auto_Loan,Mortgage_Loan,Personal_Loan,Credit_Card,Deposit,Pre-Approved Auto Limit,Pre-Approved Mortgage Limit,Pre-Approved Personal Limit,Tenure_with_Bank_Group,Tenure_of_Insurance,Salary_Amount,Credit_Limit,Total_Asset_Under_Mngmnt,Avg_Monthly_Balance,Application_Score,Behavioural_Score
2800,47.3,University,Services,Unknown,MARRIED,Retired,Individual,Female,Bengaluru,Living in a house owned by a family member,Health Insurance,Bank,>=5,>=6,0,0,0,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,2.27,13974.72,101600,10924.38,18002.46333,388,681
2801,32.3,Graduate and Higher,Services,Finance,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Unknown,Auto Insurance,Direct,>=5,5,0,0,0,0,1,0,">480,000",">=5,000,000",ZERO,<=10 YRS,2.80,31231.41,128000,1043.12,569.607451,356,706
2803,34.4,University,Services,Finance,MARRIED,Non- Government Job,Privilege Banking,Male,Chennai,Own House,Home Insurance,Direct,>=5,>=6,0,0,0,0,0,1,">480,000",">=5,000,000",ZERO,<=10 YRS,2.74,63583.74,80000,390111.89,61698.42778,358,719
2804,35.8,University,Production/Manufacturing,Petrochemicals,MARRIED,Non- Government Job,Individual,Male,Others,Own House,Home Insurance,Bank,3,3,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=2 YRS,6.18,17062.38,41300,2.25,9194.898648,361,617
2805,47.7,High School,Trade/Merchandise,Domestic Trade,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Bank,4,4,0,0,0,1,0,1,"<360,000","<2,500,000",ZERO,<=10 YRS,1.89,18397.84,NA,4050.32,28761.72201,340,615
2808,30.8,University,Services,Unknown,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living with Family,Health Insurance,Bank,2,2,0,0,0,0,0,0,">480,000",">=5,000,000","<1,500,000",<=5 YRS,1.80,NA,NA,81.45,10293.46772,373,653
2811,34.8,Graduate and Higher,Services,Unknown,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Own House,Auto Insurance,Direct,3,4,0,0,0,0,1,0,">480,000",">=5,000,000","<1,500,000",<=10 YRS,4.28,168000,175000,1351.89,225.8751515,383,681
2812,50.9,High School,Services,Unknown,MARRIED,Retired,Individual,Male,Others,Own House,Home Insurance,Direct,>=5,5,0,1,0,0,1,0,MISSING,MISSING,MISSING,<=10 YRS,3.45,23255.82,140000,23727.42,10823.0653,425,692
2813,34.4,University,Production/Manufacturing,Textile,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Own House,Health Insurance,Direct,>=5,5,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=10 YRS,1.88,34666.66666,84000,5713.83,1851.788068,330,651
2814,42.3,Graduate and Higher,Services,Finance,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,>=5,5,0,0,1,1,1,0,"<480,000","<2,500,000",ZERO,<=10 YRS,2.13,49628.34,300600,230.4,62040.75516,366,648
2815,36.3,University,Transportation/Logistics/Telecom,Transport,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Theft Insurance for Credit Card,Bank,4,4,0,1,0,0,1,0,MISSING,MISSING,MISSING,<=1 YRS,1.54,15300,27200,0,34847.81839,328,559
2816,47.2,University,Services,Health,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Bank,>=5,>=6,0,1,1,0,0,1,MISSING,MISSING,MISSING,>10 YRS,9.30,34533.33333,110700,6428.73,39983.62087,379,694
2820,37.3,High School,Trade/Merchandise,Gas Stattion,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,2,3,0,0,1,0,0,0,MISSING,MISSING,MISSING,<=2 YRS,4.49,NA,NA,3416.32,216515.6841,339,686
2821,32.7,University,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Female,Chennai,Company Provided Housing,Health Insurance,Direct,2,4,0,0,0,0,1,1,MISSING,MISSING,MISSING,<=5 YRS,2.49,42277.41,52200,2272.86,3720.575604,342,630
2822,49.8,University,Services,Unknown,MARRIED,Non- Government Job,Privilege Banking,Male,Hyderabad,Own House,Home Insurance,Direct,>=5,>=6,0,0,0,0,1,1,">480,000",">=5,000,000",ZERO,>10 YRS,10.18,30184.64,194600,2805889.04,332952.4263,362,696
2823,38.2,University,Services,Unknown,MARRIED,Non- Government Job,Individual,Male,Chennai,Own House,Home Insurance,Direct,3,4,0,0,0,0,0,0,">480,000","<5,000,000",ZERO,<=10 YRS,1.60,42806.19,135000,75134.4,4698.727273,357,714
2825,46.0,University,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Privilege Banking,Male,Ahmedabad,Own House,Home Insurance,Direct,>=5,>=6,0,1,0,0,1,1,">480,000",">=5,000,000",ZERO,>10 YRS,15.05,532242.56,108000,2988756.96,314265.1185,362,704
2826,38.8,High School,Services,Health,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Bank,0,0,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,1.86,NA,NA,0,108.2874747,354,717
2827,36.0,University,Trade/Merchandise,Domestic Trade,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Rented House,Auto Insurance,Direct,>=5,>=6,0,1,0,0,0,1,">480,000",">=5,000,000",ZERO,>10 YRS,6.92,177690.96,356400,35638.02,2800.63376,372,714
2828,30.1,University,Production/Manufacturing,Petrochemicals,MARRIED,Non- Government Job,Individual,Female,Others,Living with Family,Home Insurance,Bank,4,5,0,0,1,0,1,0,MISSING,MISSING,MISSING,<=5 YRS,1.27,21204.45,44000,4967.55,106244.0887,326,699
2829,32.5,Primary School,Production/Manufacturing,Petrochemicals,SINGLE,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Auto Insurance,Bank,4,4,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=2 YRS,1.40,16964.32,75600,905.66,12542.39693,349,615
2830,36.6,High School,Services,Hospitality,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Bank,2,2,0,0,0,1,1,0,">480,000",">=5,000,000",ZERO,<=10 YRS,1.89,40967.82,NA,46669.92,16238.12051,352,695
2831,38.6,Graduate and Higher,Services,Finance,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Rented House,Auto Insurance,Direct,>=5,>=6,0,0,0,0,0,1,MISSING,MISSING,MISSING,<=5 YRS,3.25,43901.52,80000,378204.56,44887.77731,336,700
2832,38.5,High School,Services,Finance,MARRIED,Self Employed,Privilege Banking,Female,Chennai,Living in a house owned by a family member,Health Insurance,Direct,3,4,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,8.88,147000,366100,905.12,11330.71731,353,593
2833,36.6,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Delhi,Own House,Home Insurance,Direct,>=5,>=6,0,0,0,1,1,1,"<240,000","<1,000,000",ZERO,<=5 YRS,2.81,10506.8,42400,31557.15,15599.67689,347,696
2834,32.6,University,Construction,Construction,MARRIED,Non- Government Job,Individual,Male,Others,Rented House,Home Insurance,Direct,>=5,>=6,0,1,1,1,1,0,MISSING,MISSING,MISSING,>10 YRS,2.28,14571,56000,20427.47,56213.461,364,593
2835,47.7,University,Production/Manufacturing,Textile,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Living with Family,Health Insurance,Direct,>=5,5,0,1,0,0,0,0,MISSING,MISSING,MISSING,<=10 YRS,1.94,21237.66,33600,147.24,17477.88806,372,541
2836,30.2,University,Services,Insurance,MARRIED,Self Employed,SME,Male,Others,Living in a house owned by a family member,Auto Insurance,Direct,3,3,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,1.85,7720.38,13600,3016.8,1390.745905,574,581
2837,32.6,University,Services,Unknown,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Agent,4,5,0,0,0,1,1,1,">480,000",">=5,000,000",ZERO,<=10 YRS,2.09,81135.84,67900,2197.89,6126.141761,359,652
2838,36.4,Graduate and Higher,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Privilege Banking,Female,Bengaluru,Living in a house owned by a family member,Home Insurance,Bank,2,3,0,0,1,0,0,0,">480,000","<5,000,000","<1,500,000",<=2 YRS,1.62,NA,NA,54.56,220857.1826,390,704
2839,32.7,Intermediate,Production/Manufacturing,Catering/Restaurant/Fast Food,SINGLE,Non- Government Job,Individual,Male,Hyderabad,Living in a house owned by a family member,Credit Card Insurance,Bank,2,2,0,0,0,1,0,1,MISSING,MISSING,MISSING,<=10 YRS,2.32,6957.44,NA,371.43,19321.12715,375,599
2840,36.6,Intermediate,Transportation/Logistics/Telecom,Transport,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Health Insurance,Bank,4,4,0,0,0,1,0,1,MISSING,MISSING,MISSING,<=10 YRS,3.52,49700,169200,50.4,6727.752133,378,594
2841,36.2,University,Services,Health,MARRIED,Self Employed,Company,Male,Others,Living in a house owned by a family member,Small and Medium Enterprises Insurance,Agent,>=5,>=6,1,0,1,0,1,1,MISSING,MISSING,MISSING,>10 YRS,12.65,147000,503200,900066.33,65821.69546,350,712
2842,32.7,High School,Trade/Merchandise,Information & Techonology,MARRIED,Non- Government Job,Individual,Male,Indore,Own House,Auto Insurance,Direct,4,4,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,2.09,27315.2,74400,7052.76,1337.87379,356,714
2843,32.1,University,Trade/Merchandise,Information & Techonology,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living with Family,Credit Card Insurance,Direct,4,5,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,2.65,44029.72,79800,0,3414.842638,346,562
2844,31.4,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Credit Card Insurance,Bank,4,4,0,0,0,1,1,0,"<480,000","<2,500,000",ZERO,<=10 YRS,2.62,16639.91,7700,29096.83,27391.25864,342,664
2845,33.2,Graduate and Higher,Services,Education,MARRIED,Non- Government Job,Individual,Male,Others,Company Provided Housing,Auto Insurance,Bank,4,5,0,0,0,0,0,0,">480,000",">=5,000,000",ZERO,<=10 YRS,1.88,48531.84,135000,15080.94,2367.498347,361,679
2847,38.4,High School,Services,Private Security,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Bank,>=5,>=6,0,0,0,1,1,0,"<240,000","<1,000,000",ZERO,<=10 YRS,2.33,32963.67,21000,157.5,22985.80505,347,571
2850,37.4,Graduate and Higher,Services,Finance,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Own House,Home Insurance,Bank,>=5,>=6,0,1,1,1,1,1,MISSING,MISSING,MISSING,>10 YRS,7.67,147000,476000,955081.84,114401.5342,381,688
2851,32.1,University,Production/Manufacturing,Catering/Restaurant/Fast Food,MARRIED,Non- Government Job,Individual,Male,Indore,Living with Family,Theft Insurance for Credit Card,Direct,3,4,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=2 YRS,7.44,13650,27300,10,16071.82485,323,653
2852,30.7,University,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Auto Insurance,Bank,2,4,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=2 YRS,1.67,13194.65,9200,16687.17,12214.51927,347,661
2853,27.3,Intermediate,Production/Manufacturing,Petrochemicals,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Bank,4,5,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,2.42,5172.75,60300,498.87,19544.03693,332,700
2854,43.0,Graduate and Higher,Government & NGO,Public Services,MARRIED,Government Job,Privilege Banking,Female,Bengaluru,Own House,Health Insurance,Direct,3,3,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=5 YRS,5.20,189000,174400,44.45,38301.19193,383,704
2856,34.2,Graduate and Higher,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Ahmedabad,Own House,Auto Insurance,Direct,4,4,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,5.85,31591.62,64800,1.17,48102.85984,364,612
2859,34.8,University,Production/Manufacturing,Manufacturing,DIVORCED,Non- Government Job,Individual,Male,Chennai,Rented House,Home Insurance,Direct,4,5,0,0,1,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,3.13,29402.64,24000,11638.88,23939.45297,408,695
2862,48.2,University,Production/Manufacturing,Automotive,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Living in a house owned by a family member,Theft Insurance for Credit Card,Direct,>=5,>=6,0,0,1,1,1,0,MISSING,MISSING,MISSING,>10 YRS,5.52,54018.27,189000,4523.76,37445.63845,419,664
2864,32.3,High School,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Health Insurance,Bank,3,3,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=1 YRS,4.71,46958.22,NA,2352.7,48061.67857,391,632
2865,39.5,University,Production/Manufacturing,Catering/Restaurant/Fast Food,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Rented House,Home Insurance,Direct,2,3,0,0,1,0,0,0,MISSING,MISSING,MISSING,<=10 YRS,5.56,NA,NA,364.96,29502.5226,364,677
2866,29.3,University,Trade/Merchandise,Domestic Trade,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Own House,Auto Insurance,Bank,0,1,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=2 YRS,2.40,30400,62300,0,941.82075,359,705
2867,37.8,University,Services,Unknown,UNKNOWN,Non- Government Job,Individual,Male,Bengaluru,Rented House,Home Insurance,Direct,3,3,0,0,1,0,1,0,MISSING,MISSING,MISSING,<=2 YRS,2.82,NA,NA,89.18,44737.72793,353,680
2868,44.6,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Female,Chandigarh,Living with Family,Auto Insurance,Agent,1,3,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=1 YRS,1.89,19445.65,32800,301.5,338.5375,327,678
2869,37.2,University,Production/Manufacturing,Petrochemicals,MARRIED,Non- Government Job,Individual,Male,Indore,Rented House,Health Insurance,Direct,4,4,0,0,0,0,0,0,MISSING,MISSING,MISSING,<=10 YRS,1.86,28350,42000,0,6801.965463,398,542
2870,40.8,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Chennai,Living in a house owned by a family member,Auto Insurance,Direct,>=5,5,0,0,0,1,1,0,"<480,000",ZERO,ZERO,>10 YRS,1.88,23813.09,56700,17461.17,30756.29258,340,586
2871,45.3,University,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Pune,Company Provided Housing,Auto Insurance,Direct,>=5,>=6,0,0,0,0,0,1,MISSING,MISSING,MISSING,<=10 YRS,1.89,54761.28,104400,605555.64,56430.35955,351,700
2873,36.1,University,Production/Manufacturing,Automotive,MARRIED,Non- Government Job,Individual,Male,Hyderabad,Living with Family,Home Insurance,Direct,4,5,0,1,0,0,1,0,">480,000",">=5,000,000",ZERO,<=10 YRS,1.89,30000.06,21000,17524.08,6921.558636,362,719
2874,19.8,Intermediate,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Individual,Male,Others,Living with Family,Auto Insurance,Direct,2,3,0,0,0,0,1,0,"<480,000",ZERO,ZERO,<=1 YRS,0.83,NA,8000,10830.8,2600.866852,300,669
2875,30.6,University,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Rented House,Home Insurance,Direct,>=5,5,0,0,1,1,1,0,"<360,000","<2,500,000","<1,500,000",<=10 YRS,1.86,5232,61600,891,55346.22401,345,592
2876,47.8,University,Transportation/Logistics/Telecom,Transport,MARRIED,Non- Government Job,Individual,Male,Chennai,Living in a house owned by a family member,Auto Insurance,Bank,0,1,0,1,0,0,0,0,MISSING,MISSING,MISSING,<=10 YRS,5.52,NA,NA,0,63124.79433,392,589
2878,59.5,University,Production/Manufacturing,Catering/Restaurant/Fast Food,MARRIED,Retired but still working,Privilege Banking,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Bank,>=5,>=6,0,0,0,1,0,1,">480,000",">=5,000,000",ZERO,>10 YRS,6.21,36514.73,90000,736135.68,136366.7341,385,719
2879,40.8,High School,Trade/Merchandise,Domestic Trade,MARRIED,Non- Government Job,Individual,Male,Chennai,Living in a house owned by a family member,Health Insurance,Direct,2,3,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,2.69,29459.16,46200,191.97,687.8189091,360,710
2880,28.5,University,Construction,Construction,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Rented House,Home Insurance,Bank,4,4,0,0,1,0,1,0,">480,000","<5,000,000","<1,500,000",<=5 YRS,2.38,7200,14400,2652.51,82833.47591,370,706
2881,35.3,University,Services,Finance,MARRIED,Non- Government Job,Individual,Female,Others,Living in a house owned by a family member,Credit Card Insurance,Direct,>=5,5,0,0,1,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,2.81,19211.2,52000,13801.77,33212.26034,367,651
2882,43.9,University,Production/Manufacturing,Automotive,MARRIED,Non- Government Job,Privilege Banking,Female,Ahmedabad,Own House,Auto Insurance,Direct,>=5,>=6,0,0,0,1,1,1,MISSING,MISSING,MISSING,>10 YRS,3.11,27157.68,410000,74259.92,17472.32881,429,619
2884,35.2,University,Production/Manufacturing,Petrochemicals,MARRIED,Non- Government Job,Individual,Male,Others,Own House,Home Insurance,Bank,4,4,0,0,1,1,0,0,"<480,000","<2,500,000","<1,000,000",<=5 YRS,4.80,NA,NA,3125.92,5424.547585,392,691
2885,32.3,Graduate and Higher,Services,Unknown,SINGLE,Non- Government Job,Privilege Banking,Female,Indore,Living with Family,Auto Insurance,Direct,4,>=6,0,0,0,0,0,1,">480,000",">=5,000,000",ZERO,<=5 YRS,1.88,45336.13,290700,181338.24,17329.42219,365,697
2887,28.0,University,Services,Health,MARRIED,Non- Government Job,Individual,Female,Chennai,Living in a house owned by a family member,Credit Card Insurance,Direct,4,4,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,1.86,13423.05,33600,0,6578.629697,232,585
2888,30.8,High School,Services,Hospitality,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Theft Insurance,Bank,>=5,5,0,0,0,1,0,0,"<240,000","<1,000,000",ZERO,<=5 YRS,1.89,21494.69,27000,609.36,34667.83498,353,598
2889,34.0,Graduate and Higher,Services,Health,DIVORCED,Non- Government Job,Individual,Female,Chennai,Living in a house owned by a family member,Theft Insurance for Credit Card,Bank,3,4,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=2 YRS,8.30,22666.66666,54000,2.73,18140.26564,363,555
2890,29.2,University,Services,Health,SINGLE,Non- Government Job,Individual,Female,Others,Living in a house owned by a family member,Credit Card Insurance,Direct,4,4,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=5 YRS,1.86,7258.16,7000,10.22,10116.00727,353,583
2891,40.4,Graduate and Higher,Services,Health,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Own House,Auto Insurance,Direct,0,3,0,0,1,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,5.50,28000,NA,0,11715.07062,402,691
2892,38.8,University,Trade/Merchandise,Domestic Trade,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Rented House,Home Insurance,Direct,>=5,>=6,0,0,1,0,1,1,"<120,000",ZERO,ZERO,<=10 YRS,2.17,30011.4,56800,15923.36,34388.15215,371,692
2893,29.3,University,Trade/Merchandise,Information & Techonology,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Rented House,Home Insurance,Direct,>=5,5,0,0,1,0,1,0,">480,000","<5,000,000","<1,500,000",<=10 YRS,1.89,28126.08,108000,13736.16,101808.0516,407,679
2894,30.8,University,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Female,Chennai,Living in a house owned by a family member,Home Insurance,Direct,>=5,>=6,0,0,1,0,1,1,MISSING,MISSING,MISSING,>10 YRS,4.25,NA,77400,2249265.04,125569.5846,417,715
2895,39.0,University,Trade/Merchandise,Domestic Trade,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Health Insurance,Direct,3,4,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,1.88,32714.56,155200,5478.93,4499.003738,376,671
2896,28.8,University,Services,Health,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Living with Family,Health Insurance,Agent,3,5,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=2 YRS,1.57,17115.57,50400,8220.6,8280.654732,334,669
2897,31.8,University,Services,Finance,MARRIED,Non- Government Job,Individual,Female,Indore,Living in a house owned by a family member,Home Insurance,Direct,2,3,0,0,0,0,0,1,MISSING,MISSING,MISSING,<=10 YRS,1.54,6911.38,NA,1875.65,283.6138889,254,715
2901,33.1,High School,Production/Manufacturing,Durable Goods,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,3,4,0,0,0,0,0,0,">480,000","<5,000,000",ZERO,<=10 YRS,1.89,43579.76,38400,9651.52,850.1444152,342,712
2902,28.1,University,Services,Finance,SINGLE,Non- Government Job,Individual,Female,Pune,Living in a house owned by a family member,Health Insurance,Direct,>=5,>=6,0,0,0,1,0,1,MISSING,MISSING,MISSING,<=5 YRS,1.65,20244.84,65700,39404.12,8152.029834,398,646
2903,51.3,University,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Lucknow,Living in a house owned by a family member,Home Insurance,Direct,>=5,>=6,0,0,0,0,0,1,">480,000",">=5,000,000",ZERO,>10 YRS,9.44,85186.08,225000,444403.33,50288.50172,379,719
2904,41.7,University,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Others,Company Provided Housing,Auto Insurance,Direct,>=5,>=6,0,0,0,1,1,1,">480,000",">=5,000,000",ZERO,<=10 YRS,4.94,36103.55,75600,109735.57,44186.95612,371,712
2905,37.3,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Chennai,Living in a house owned by a family member,Health Insurance,Direct,3,3,0,0,0,1,1,0,"<480,000","<2,500,000",ZERO,<=10 YRS,1.58,41872.95,NA,3936.48,18574.02069,354,594
2906,42.2,Graduate and Higher,Services,Health,MARRIED,Self Employed,Company,Male,Chandigarh,Own House,Small and Medium Enterprises Insurance,Agent,>=5,>=6,1,0,0,0,1,1,MISSING,MISSING,MISSING,>10 YRS,8.71,168000,450000,32222.7,32581.80568,1018,711
2908,31.4,University,Services,Finance,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Direct,4,4,0,0,0,1,1,1,MISSING,MISSING,MISSING,<=5 YRS,2.34,101240.24,85050,2564.56,9111.815584,436,693
2909,48.8,University,Trade/Merchandise,Domestic Trade,MARRIED,Non- Government Job,Privilege Banking,Male,Ahmedabad,Living in a house owned by a family member,Home Insurance,Direct,>=5,>=6,0,1,1,1,1,1,">480,000",">=5,000,000",ZERO,>10 YRS,8.92,39675.51,267400,19372.08,61075.58015,370,686
2911,27.3,University,Services,Health,SINGLE,Non- Government Job,Individual,Female,Others,Living in a house owned by a family member,Small and Medium Enterprises Insurance,Agent,0,2,0,0,0,1,0,1,">480,000",">=5,000,000","<1,500,000",<=5 YRS,2.81,NA,NA,20.32,13.96727273,378,697
2912,41.7,High School,Trade/Merchandise,Domestic Trade,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Direct,>=5,>=6,0,0,1,1,1,0,MISSING,MISSING,MISSING,>10 YRS,4.35,31613.13,12000,9364,53503.12661,379,603
2913,40.2,High School,Production/Manufacturing,Catering/Restaurant/Fast Food,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,1,3,0,0,1,0,1,1,">480,000",">=5,000,000",ZERO,<=5 YRS,4.44,42411.68,77000,49710.96,92638.61216,341,695
2914,34.7,Graduate and Higher,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Ahmedabad,Living in a house owned by a family member,Auto Insurance,Bank,4,4,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=5 YRS,9.81,10883.25,56800,2690.8,1586.775909,351,688
2915,34.3,University,Production/Manufacturing,Petrochemicals,UNKNOWN,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Home Insurance,Bank,>=5,5,0,0,1,0,1,0,">480,000",">=5,000,000","<1,500,000",<=10 YRS,1.57,22500,40000,681.45,106257.4759,392,676
2916,39.7,University,Transportation/Logistics/Telecom,Telecom,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Own House,Auto Insurance,Direct,3,5,0,0,0,0,0,1,">480,000",">=5,000,000",ZERO,>10 YRS,3.79,138063.6,186200,616213.2,277665.6015,362,719
2917,41.8,Intermediate,Construction,Construction,MARRIED,Non- Government Job,Privilege Banking,Male,Others,Living in a house owned by a family member,Auto Insurance,Direct,4,4,0,0,1,1,1,0,MISSING,MISSING,MISSING,>10 YRS,6.85,14206.77,196000,253.36,10170.27927,396,647
2918,28.2,Graduate and Higher,Services,Media,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Living with Family,Auto Insurance,Direct,>=5,>=6,0,0,0,1,0,1,MISSING,MISSING,MISSING,<=10 YRS,3.63,17379,68000,89610.48,22301.83915,390,678
2919,52.2,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Own House,Home Insurance,Bank,>=5,>=6,0,0,0,1,1,1,">480,000",">=5,000,000","<500,000",<=10 YRS,3.51,44533.33334,99400,5359.05,11046.50605,360,679
2920,40.7,University,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Home Insurance,Direct,4,5,0,0,1,1,1,0,MISSING,MISSING,MISSING,>10 YRS,10.92,25174.96,189000,21823.48,20053.32817,403,703
2921,25.3,High School,Production/Manufacturing,Catering/Restaurant/Fast Food,SINGLE,Non- Government Job,Individual,Male,Pune,Living with Family,Auto Insurance,Bank,2,2,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=2 YRS,1.54,4745.68,NA,15.21,7896.053026,255,496
2922,31.5,University,Trade/Merchandise,Domestic Trade,MARRIED,Non- Government Job,Individual,Male,Chennai,Living with Family,Auto Insurance,Direct,1,3,0,0,0,0,0,0,">480,000",">=5,000,000","<1,500,000",<=10 YRS,1.84,NA,NA,0,266.3807143,392,707
2923,28.4,University,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Living with Family,Auto Insurance,Direct,>=5,>=6,0,1,0,0,1,0,MISSING,MISSING,MISSING,<=5 YRS,1.89,33407.01,63200,5949.99,29844.00455,353,600
2924,33.9,High School,Production/Manufacturing,Catering/Restaurant/Fast Food,SINGLE,Non- Government Job,Individual,Male,Chennai,Living with Family,Home Insurance,Bank,4,5,0,0,0,1,1,0,"<240,000","<1,000,000",ZERO,>10 YRS,0.71,9962.75,73600,17887.32,17104.23082,435,707
